cluster,Floor,weight
0,1,0.14216409850230413
0,2,0.0754259522609447
0,3,0.0838066136232719
0,4,0.08122794858870967
0,5,0.0754259522609447
0,6,0.0838066136232719
0,7,0.0754259522609447
0,8,0.0754259522609447
0,9,0.0754259522609447
0,10,0.0810130598358295
0,11,0.0754259522609447
0,14,0.0754259522609447
1,1,0.08100670102420979
1,2,0.03943445074940812
1,3,0.09555736721534765
1,4,0.09139885340149376
1,5,0.06649278732600006
1,6,0.07758367695133953
1,7,0.06369138093547017
1,8,0.0713377539948506
1,9,0.08284087455704824
1,10,0.07898767996492893
1,11,0.04518530815036348
1,12,0.09037061630072696
1,13,0.043816056388231245
1,14,0.07229649304058157
2,2,0.08504443657603614
2,3,0.0767657746084574
2,4,0.07213590602431637
2,5,0.07316322852497227
2,6,0.07103143282203019
2,7,0.07316322852497227
2,8,0.06859716346463293
2,9,0.07240269600392266
2,10,0.07283366443251744
2,11,0.07972915929003388
2,12,0.06378332743202711
2,13,0.06378332743202711
2,14,0.12756665486405422
3,1,0.0856597638949189
3,2,0.022840676484781545
3,3,0.09824235238063059
3,4,0.11746112635854226
3,5,0.10104760062507523
3,6,0.12127479929226115
3,7,0.07948609294165833
3,8,0.07710918915578426
3,9,0.08177798965881215
3,10,0.07303720359808531
3,11,0.01724247146400176
3,12,0.016981221896365365
3,13,0.015674974058183414
3,14,0.09216453819089974
4,1,0.1310088312487743
4,2,0.018696103256615953
4,3,0.07822094246273466
4,4,0.0927384494592056
4,5,0.08454773666511925
4,6,0.10668036921193255
4,7,0.06431562281406808
4,8,0.06444476780986423
4,9,0.07091318769511402
4,10,0.07597326013155542
4,11,0.020539381042479498
4,12,0.02527923820612861
4,13,0.02738584138997266
4,14,0.13925626860643522
5,1,0.17100264829963657
5,2,0.062286971021402585
5,3,0.05468274909662556
5,4,0.06027300616644628
5,5,0.05313225801985884
5,6,0.07095984040412953
5,7,0.059221974115428656
5,8,0.054254770513236135
5,9,0.05027866783075601
5,10,0.05651686793335009
5,11,0.09201484355434474
5,12,0.10617097333193623
5,13,0.05460221485642435
5,14,0.05460221485642435
