state,N,AR1_MAE,BASE_MAE,AR1_RMSE,BASE_RMSE
Afternoon Mixed,744,3.614513662642354,3.855947580645161,6.394374940527467,6.908902810241868
Weekend Low-Demand,563,1.0057531275369367,1.0732682060390764,1.4410394634508847,1.5162859234907509
Evening Down-Peak,364,11.709548428745608,11.44007554945055,14.660220865309089,14.541541906548892
Lunch Down-Peak,50,10.12077212745751,11.37625,13.259673402194707,14.715024740889836
Morning Up-Peak,5,9.220308879213027,9.125,14.148087814248754,13.600608901810242
